,...1,baseMean,log2FoldChange,lfcSE,pvalue,padj,regulate,Cluster
5113,PF3D7_0415600,43.3618524298078,-0.200261250452322,0.303634004386124,0.294848818928706,0.514789461385465,Normal,GroupC
5114,PF3D7_0413900,1009.95297318106,0.172372603769595,0.125812895791382,0.106413781699159,0.272431322313265,Normal,GroupD
5115,PF3D7_0413400,299.581103814337,0.213739199547442,0.236123375966422,0.222469309470102,0.439867887704713,Normal,GreopE
5116,PF3D7_0412400,6397.64198537531,0.235078887806281,0.224268445337283,0.168370109380245,0.367189191680648,Normal,GroupA
5117,PF3D7_0409600,730.912968521063,-0.429952686996722,0.141500181968388,0.000887110420215,0.008118532307514,Normal,GroupB
5118,PF3D7_0408700,14.3336561223129,0.445140860242395,0.384735246562994,0.038203242250954,0.134267705775198,Normal,GroupC
5119,PF3D7_0405100,2132.4876292179,0.230442665575025,0.109572697084303,0.019573472751951,0.082199502740213,Normal,GroupD
5120,PF3D7_0404700,1527.66922439411,-0.329310175726715,0.165459986427685,0.020426981577354,0.084800084071127,Normal,GreopE
5121,PF3D7_0404400,325.410287220749,0.149453282241184,0.152324723155804,0.235007950358754,0.453480160073929,Normal,GroupA
5122,PF3D7_0401900,95.0605047111675,0.46904031317364,0.26439971685981,0.016552949254522,0.072544402301902,Normal,GroupB
5123,PF3D7_0401000,2.45609921873046,0.038216263647653,0.401242953829713,0.785794767365738,0.888930330582491,Normal,GroupC
5124,PF3D7_0400500,633.2644438315,0.132217893491181,0.234916309382032,0.444571322826419,0.654045301859714,Normal,GroupD
5125,PF3D7_0533000,560.204842303946,0.023039226208283,0.148295091894089,0.852170254509363,0.927497390656613,Normal,GreopE
5126,PF3D7_0532900,89.3552962792971,0.057392748061816,0.219427140451751,0.729221028904668,0.85517837021601,Normal,GroupA
5127,PF3D7_0529300,24.5992854989073,0.255527051972673,0.286909377816344,0.183215709736935,0.387814660177567,Normal,GroupB
5128,PF3D7_0528400,308.131665576553,-0.484982597624733,0.154178949293778,0.000484088471745,0.005205149310055,Normal,GroupC
5129,PF3D7_0527500,14290.9627312237,0.265249478489579,0.198235640115729,0.094098853075687,0.249978851370344,Normal,GroupD
5130,PF3D7_0524700,319.396694427463,-0.31625862518851,0.174835133318634,0.031605472860649,0.117305343563446,Normal,GreopE
5131,PF3D7_0523000,8155.11091076633,0.051737958671592,0.186103071203096,0.727574175153097,0.8540267555299,Normal,GroupA
5132,PF3D7_0516800,571.270432343463,0.599086856473024,0.305849665918076,0.005369374967529,0.032323399194771,Normal,GroupB
5133,PF3D7_0516400,249.838751393436,-0.060134574055486,0.213696702797118,0.712513054907891,0.843689587941421,Normal,GroupC
5134,PF3D7_0511200,408.331967398515,-0.558617401004905,0.169965867083932,0.000201160438631,0.002664149223823,Normal,GroupD
5135,PF3D7_0504700,1877.60107219455,0.58078006565157,0.316447219733049,0.007488482561085,0.040990383373683,Normal,GreopE
